id,year,coh,ndrod,duy,yduy,duc,yduc,nmissd,uy,uc
20,1984,0,0,-.0221887,1,.3314653,1,3,.4254628,.1502934
20,1985,0,0,-.0639843,1,.1515791,1,3,.3614784,.3018725
20,1986,0,0,-.5560338,1,-.0167602,1,3,-.1945554,.2851123
20,1987,0,1,.1086254,1,0,0,3,-.08593,
20,1988,0,1,.7965147,1,0,0,3,.7105846,
20,1989,0,1,-.6801205,1,0,0,3,.0304641,.7614006
20,1990,0,0,.0749832,1,-.1730861,1,3,.1054474,.5883145
20,1991,0,0,.0192476,1,-.2188934,1,3,.124695,.3694211
20,1992,0,0,-.8003532,1,-.1747239,1,3,-.6756583,.1946972
21,1979,0,0,-.4787356,1,.4284776,1,3,-.1994093,.6917453
21,1980,0,0,-.0411504,1,-.4076286,1,3,-.2405597,.2841167
21,1981,0,0,.2963625,1,-.162473,1,3,.0558028,.1216437
21,1982,0,0,-.2398738,1,.2543721,1,3,-.184071,.3760158
21,1983,0,0,.0803317,1,.0329843,1,3,-.1037393,.4090001
21,1984,0,0,.0539018,1,-.2300563,1,3,-.0498375,.1789438
21,1985,0,0,.0098911,1,-.0058839,1,3,-.0399464,.1730599
21,1986,0,0,-.1092148,1,.2047394,1,3,-.1491613,.3777993
21,1987,0,1,.1741509,1,0,0,3,.0249897,
21,1988,0,1,-.2475408,1,0,0,3,-.2225511,
21,1989,0,1,.0954553,1,0,0,3,-.1270958,.1787955
21,1990,0,0,.2418264,1,-.1097656,1,3,.1147306,.0690299
21,1991,0,0,-.1126362,1,.0785643,1,3,.0020944,.1475942
21,1992,0,0,-.1683912,1,-.1562564,1,3,-.1662967,-.0086621
22,1979,0,0,.3381842,1,.1449815,1,3,.4433704,.4777247
22,1980,0,0,.1839568,1,-.5915004,1,3,.6273271,-.1137757
22,1981,0,0,.2618877,1,.458735,1,3,.8892148,.3449594
22,1982,0,0,-.0566283,1,.0118096,1,3,.8325865,.3567689
22,1983,0,0,-.1700199,1,-.0485017,1,3,.6625666,.3082672
22,1984,0,0,-.1694172,1,-.056252,1,3,.4931494,.2520152
22,1985,0,0,.2076058,1,-.1053802,1,3,.7007552,.146635
22,1986,0,0,-.1255839,1,.4211115,1,3,.5751713,.5677465
22,1987,0,1,.2870836,1,0,0,3,.8622549,
22,1988,0,1,-.0686032,1,0,0,3,.7936516,
22,1989,0,1,-.0897064,1,0,0,3,.7039453,.8264862
22,1990,0,0,.0886032,1,-.2499759,1,3,.7925485,.5765104
22,1991,0,0,.0559639,1,-.8702075,1,3,.8485124,-.2936971
22,1992,0,0,-.0194284,1,1.013344,1,3,.829084,.719647
23,1979,0,0,0,0,0,0,3,,
23,1980,0,0,0,0,0,0,3,,
23,1981,0,0,0,0,0,0,3,,
23,1982,0,0,0,0,0,0,3,,
23,1983,0,0,0,0,0,0,3,,
23,1984,0,0,0,0,0,0,3,,
23,1985,0,0,0,0,0,0,3,,
23,1986,0,0,0,0,0,0,3,-.6733093,-1.80558
23,1987,0,1,.1247192,1,0,0,3,-.5485901,
23,1988,0,1,0,0,0,0,3,,
23,1989,0,1,0,0,0,0,3,,
23,1990,0,0,0,0,0,0,3,,
23,1991,0,0,0,0,0,0,3,,
23,1992,0,0,0,0,0,0,3,,
24,1979,0,0,0,0,0,0,3,,
24,1980,0,0,0,0,0,0,3,,
24,1981,0,0,0,0,0,0,3,,
24,1982,0,0,0,0,0,0,3,-.0075485,-.7144725
24,1983,0,0,.0290998,1,.3247608,1,3,.0215513,-.3897116
24,1984,0,0,0,0,0,0,3,,
24,1985,0,0,0,0,0,0,3,,
24,1986,0,0,0,0,0,0,3,,
24,1987,0,1,0,0,0,0,3,,
24,1988,0,1,0,0,0,0,3,,
24,1989,0,1,0,0,0,0,3,,
24,1990,0,0,0,0,0,0,3,,
24,1991,0,0,0,0,0,0,3,,
24,1992,0,0,0,0,0,0,3,,
25,1979,0,0,-.0699441,1,.149622,1,3,-.0721149,-.1368433
25,1980,0,0,.2115935,1,-.1407277,1,3,.1394786,-.277571
25,1981,0,0,.0920533,1,.0872207,1,3,.2315319,-.1903504
